Measure Mode: wall_time
Thread ID: 9746820
Fiber ID: 12490180
Total: 108.138646
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.038     0.038     0.000     0.000      426   Module#name
  0.04      0.038     0.038     0.000     0.000    10387   Symbol#to_sym
  0.03      0.199     0.033     0.000     0.166     7102  *Array#each
  0.03      0.029     0.029     0.000     0.000     3854   Symbol#to_s
  0.02      0.401     0.024     0.000     0.378     7701  *Class#new
  0.02      0.017     0.017     0.000     0.000     5677   Kernel#hash
  0.02      0.017     0.016     0.000     0.001      606   Module#define_method
  0.01      0.016     0.016     0.000     0.000     2517   Hash#[]=
  0.01      0.030     0.015     0.000     0.015     1311   BinData::AcceptedParametersPlugin#mandatory_parameters
  0.01      0.013     0.013     0.000     0.000      545   String#split
  0.01      0.011     0.011     0.000     0.000     1484   String#sub
  0.01      0.011     0.011     0.000     0.000     2822   String#gsub
  0.01      0.010     0.010     0.000     0.000     4539   BasicObject#!
  0.01      0.218     0.010     0.000     0.208      266  *Module#module_eval
  0.01      0.010     0.010     0.000     0.000      570   Array#concat
  0.01      0.009     0.009     0.000     0.000     6366   Array#include?
  0.01      1.062     0.009     0.000     1.053      735  *Kernel#require
  0.01      0.029     0.009     0.000     0.020     1337  *Module#const_get
  0.01      0.012     0.008     0.000     0.003     1498  *<Class::BinData::Base>#arg_processor
  0.01      0.008     0.008     0.000     0.000     1366   String#tr
  0.01      0.022     0.008     0.000     0.015     2773  *Hash#each
  0.01      0.014     0.008     0.000     0.007       39   <Module::Pio::OpenFlow>#alias_open_flow_class
  0.01      0.007     0.007     0.000     0.000     5387   BinData::DSLMixin::DSLParser#parser_abilities
  0.01      0.025     0.007     0.000     0.018     4280   BinData::DSLMixin::DSLFieldValidator#option?
  0.01      0.007     0.007     0.000     0.000     2548   Regexp#=~
  0.01      0.013     0.007     0.000     0.006     1483   BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
  0.01      0.006     0.006     0.000     0.000    10623   Kernel#nil?
  0.01      0.019     0.006     0.000     0.013     2821  *Kernel#dup
