Measure Mode: wall_time
Thread ID: 13465980
Fiber ID: 16346120
Total: 110.819467
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.153     0.028     0.000     0.125     7102  *Array#each
  0.02      0.024     0.024     0.000     0.000      426   Module#name
  0.02      0.282     0.017     0.000     0.266     7701  *Class#new
  0.01      0.016     0.016     0.000     0.000    10387   Symbol#to_sym
  0.01      0.014     0.014     0.000     0.000     3854   Symbol#to_s
  0.01      0.762     0.013     0.000     0.750      735  *Kernel#require
  0.01      0.010     0.010     0.000     0.000     2548   Regexp#=~
  0.01      0.138     0.009     0.000     0.129      266  *Module#module_eval
  0.01      0.009     0.009     0.000     0.000     2822   String#gsub
  0.01      0.007     0.007     0.000     0.000       95   <Class::Dir>#[]
  0.01      0.007     0.007     0.000     0.000     1484   String#sub
  0.01      0.011     0.007     0.000     0.004     2773  *Hash#each
  0.01      0.006     0.006     0.000     0.000    10623   Kernel#nil?
  0.01      0.015     0.006     0.000     0.009     2821  *Kernel#dup
  0.01      0.006     0.006     0.000     0.000     5387   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.005     0.005     0.000     0.000     4539   BasicObject#!
  0.00      0.005     0.005     0.000     0.000      724   IO#set_encoding
  0.00      0.010     0.005     0.000     0.005     2972  *Kernel#initialize_dup
  0.00      0.018     0.005     0.000     0.013     4832   BinData::DSLMixin::DSLParser#option?
  0.00      0.006     0.005     0.000     0.001      606   Module#define_method
  0.00      0.032     0.005     0.000     0.027     1366   BinData::Registry#underscore_name
  0.00      0.012     0.005     0.000     0.007     3568  *BinData::DSLMixin::DSLParser#endian
  0.00      0.026     0.005     0.000     0.021     1558   Array#map
  0.00      0.005     0.005     0.000     0.000     5677   Kernel#hash
  0.00      0.022     0.004     0.000     0.017     1299   BinData::SanitizedParameters#merge_default_parameters!
  0.00      0.013     0.004     0.000     0.009     3172  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.00      0.004     0.004     0.000     0.000     5149   Array#at
  0.00      0.004     0.004     0.000     0.000     1426   String#downcase
  0.00      0.157     0.004     0.000     0.153     1098  *BinData::SanitizedPrototype#initialize
  0.00      0.119     0.004     0.000     0.115      408   <Class::Pio::OpenFlow::Message>#method_missing
  0.00      0.004     0.004     0.000     0.000     6366   Array#include?
  0.00      0.010     0.004     0.000     0.006     2527  *BinData::DSLMixin#dsl_parser
  0.00      0.101     0.004     0.000     0.097     1299  *BinData::SanitizedParameters#initialize
  0.00      0.004     0.004     0.000     0.000     2517   Hash#[]=
  0.00      0.004     0.004     0.000     0.000     5666   Kernel#is_a?
  0.00      0.093     0.004     0.000     0.089     1299  *BinData::SanitizedParameters#sanitize!
  0.00      0.012     0.004     0.000     0.008     4166   BinData::SanitizedField#name_as_sym
  0.00      0.004     0.004     0.000     0.000     3166   Module#method_added
  0.00      0.013     0.004     0.000     0.010     2818  *BinData::DSLMixin::DSLParser#fields
  0.00      0.010     0.004     0.000     0.006     1311   BinData::AcceptedParametersPlugin#mandatory_parameters
  0.00      0.003     0.003     0.000     0.000        1   <Class::IO>#read
  0.00      0.027     0.003     0.000     0.024      936   Enumerable#detect
  0.00      0.004     0.003     0.000     0.000     9162   Hash#[]
  0.00      0.016     0.003     0.000     0.013     1299   BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.00      0.019     0.003     0.000     0.016     4280   BinData::DSLMixin::DSLFieldValidator#option?
  0.00      0.004     0.003     0.000     0.001      356   Kernel#define_singleton_method
  0.00      0.003     0.003     0.000     0.000     1590   Array#first
  0.00      0.006     0.003     0.000     0.003     1498  *<Class::BinData::Base>#arg_processor
